Location	Pincode	State	District
Russel Street	700071	West Bengal	Kolkata
S.R.f.t.i.	700094	West Bengal	Kolkata
Sahanagar	700026	West Bengal	Kolkata
Sahapur	700038	West Bengal	Kolkata
Sales Tax building	700015	West Bengal	Kolkata
Sankaritola	700012	West Bengal	Kolkata
Santoshpur	700075	West Bengal	Kolkata
Santoshpur Avenue	700075	West Bengal	Kolkata
Sarat Bose road	700029	West Bengal	Kolkata
Sarsoona	700061	West Bengal	Kolkata
Seal Lane	700015	West Bengal	Kolkata
Sealdah	700014	West Bengal	Kolkata
Senhati	700034	West Bengal	Kolkata
Shakespeare Sarani	700017	West Bengal	Kolkata
Sirity	700041	West Bengal	Kolkata
Sonai	700043	West Bengal	Kolkata
Sooterkin Street	700072	West Bengal	Kolkata
South Eastern railway	700043	West Bengal	Kolkata
Southern Market	700026	West Bengal	Kolkata
Strand Road	700007	West Bengal	Kolkata
Subhash Sarabor	700010	West Bengal	Kolkata
T.C.road	700033	West Bengal	Kolkata
T.G.road	700024	West Bengal	Kolkata
Taltala	700014	West Bengal	Kolkata
Tangra	700015	West Bengal	Kolkata
Taratala Road	700088	West Bengal	Kolkata
Telecom Factory	700088	West Bengal	Kolkata
Telephone Bhawan	700001	West Bengal	Kolkata
Thakurpukur	700063	West Bengal	Kolkata
Tiretta Bazar	700073	West Bengal	Kolkata
Tollygunge	700033	West Bengal	Kolkata
Treasury Building	700001	West Bengal	Kolkata
Viveknagar	700075	West Bengal	Kolkata
W.B.assembly house	700001	West Bengal	Kolkata
W.B.governors camp.	700062	West Bengal	Kolkata
Watgunge	700023	West Bengal	Kolkata
Writer's Building	700001	West Bengal	Kolkata
Yogayog Bhawan	700012	West Bengal	Kolkata
